frameNb,Tx_Module,ID,distance,angle,speed,mag
0,Tx1,0,1.6,0,0,93
0,Tx1,1,3.2,54.66,0,83
0,Tx1,2,5,38.22,0,83
0,Tx1,3,8.8,22.22,0,84
0,Tx1,4,11.2,17.33,0,78
0,Tx1,5,13.6,11.11,0,75
0,Tx1,6,16,-52.88,0,75
0,Tx1,7,16.8,9.77,0,76
0,Tx1,8,18.4,-66.22,0,77
0,Tx1,9,20.6,-65.33,0,77
0,Tx1,10,21.8,9.77,0,71
0,Tx1,11,24.4,-60,0,67
0,Tx1,12,26.4,6.22,0,73
0,Tx1,13,29,7.55,0,68
0,Tx1,14,32.4,-9.33,0,69
0,Tx1,15,34,-3.55,0,64
0,Tx1,16,35.2,-5.77,0,67
0,Tx1,17,36.6,3.55,0,64
0,Tx1,18,37.4,3.55,0,60
0,Tx1,19,39.8,-13.33,0,61
0,Tx1,20,41.6,2.22,0,64
0,Tx1,21,43.8,2.66,0,60
0,Tx1,22,45,-66.22,0,55
0,Tx1,23,46.6,-13.33,0,58
0,Tx1,24,49.6,0.88,0,69
0,Tx1,25,52,4.88,0,59
0,Tx1,26,54,2.22,0,54
0,Tx1,27,55.4,-4.44,0,63
0,Tx1,28,58.4,23.11,0,52
0,Tx1,29,59,3.11,0,55
0,Tx1,30,60.4,3.55,0,57
0,Tx1,31,62.4,1.77,0,62
0,Tx1,32,64.4,0.88,0,59
0,Tx1,33,66,2.66,0,56
0,Tx1,34,67.6,3.99,0,60
0,Tx1,35,69.8,3.55,0,62
0,Tx1,36,72.4,58.66,0,59
0,Tx1,37,72.6,3.55,0,53
0,Tx1,38,73.8,6.22,0,55
0,Tx1,39,75.2,2.66,0,59
0,Tx1,40,77.8,0.88,0,54
0,Tx1,41,81.6,3.11,0,56
0,Tx1,42,83.2,-2.66,0,56
0,Tx1,43,84.6,7.11,0,54
0,Tx1,44,86.2,5.33,0,51
0,Tx1,45,88.4,6.22,0,54
0,Tx1,46,90.4,0.88,0,50
0,Tx1,47,92,2.22,0,59
0,Tx1,48,93,1.77,0,51
0,Tx1,49,98.8,0,0,59
0,Tx1,50,102.2,3.55,0,56
0,Tx1,51,106.6,4.44,0,55
0,Tx1,52,111,6.66,0,50
0,Tx1,53,119,5.33,0,49
0,Tx1,54,127.4,0.88,0,53
0,Tx1,55,130,2.66,0,52
0,Tx1,56,133.4,-0.44,0,52
0,Tx1,57,143,-2.66,0,50
0,Tx1,58,150.2,-16,0,49
0,NA,59,1024,-1.77,0,49
0,Tx2,60,1.6,0,0,96
0,Tx2,61,3.2,52.44,0,79
0,Tx2,62,4.6,46.22,0,72
0,Tx2,63,6.4,31.11,0,67
0,Tx2,64,8,25.77,0,70
0,Tx2,65,9.2,-47.55,0,74
0,Tx2,66,10.4,-41.77,0,73
0,Tx2,67,13.4,-17.77,0,84
0,Tx2,68,16,-13.33,0,85
0,Tx2,69,18.4,-62.22,0,80
0,Tx2,70,20.6,-65.33,0,77
0,Tx2,71,21.8,-64.44,0,72
0,Tx2,72,23.4,-67.55,0,71
0,Tx2,73,26,3.55,0,71
0,Tx2,74,27.2,0.88,0,66
0,Tx2,75,30.2,3.55,0,62
0,Tx2,76,31,52.44,0,64
0,Tx2,77,32.4,-7.55,0,74
0,Tx2,78,34,-7.11,0,69
0,Tx2,79,35.2,-7.11,0,75
0,Tx2,80,36.6,0,0,63
0,Tx2,81,38.2,-17.33,0,70
0,Tx2,82,40,-11.55,0,63
0,Tx2,83,41.6,2.66,0,65
0,Tx2,84,43.8,-8,0,65
0,Tx2,85,45,-5.33,0,60
0,Tx2,86,47,-11.55,0,71
0,Tx2,87,48.4,-8,0,72
0,Tx2,88,50,4.88,0,69
0,Tx2,89,51.8,-8.44,0,61
0,Tx2,90,53,24,0,55
0,Tx2,91,55.4,-7.11,0,68
0,Tx2,92,57.6,3.11,0,58
0,Tx2,93,58.4,24,0,56
0,Tx2,94,59.8,3.11,0,60
0,Tx2,95,62.4,3.55,0,61
0,Tx2,96,61.8,53.33,0,62
0,Tx2,97,64,3.55,0,60
0,Tx2,98,65.2,4.44,0,58
0,Tx2,99,68.6,-3.55,0,64
0,Tx2,100,71,3.55,0,59
0,Tx2,101,72.4,-8.88,0,60
0,Tx2,102,74,59.55,0,53
0,Tx2,103,77,1.77,0,58
0,Tx2,104,78,-3.55,0,56
0,Tx2,105,80.4,-40,0,49
0,Tx2,106,81.6,4.88,0,56
0,Tx2,107,81.8,-4,0,64
0,Tx2,108,85.8,9.77,0,50
0,Tx2,109,88.6,4.44,0,57
0,Tx2,110,89.6,2.66,0,55
0,Tx2,111,91.2,0.88,0,60
0,Tx2,112,93.4,-10.66,0,54
0,Tx2,113,96.6,4.44,0,54
0,Tx2,114,98.8,0,0,60
0,Tx2,115,102.6,3.99,0,58
0,Tx2,116,105.6,4.44,0,54
0,Tx2,117,106.8,5.33,0,59
0,Tx2,118,111.4,4.88,0,53
0,Tx2,119,113.6,4.88,0,52
0,Tx2,120,119,5.33,0,52
0,Tx2,121,121.4,6.66,0,49
0,Tx2,122,129.6,2.66,0,49
0,Tx2,123,133.6,-1.77,0,50
0,Tx2,124,136.4,-0.88,0,47
0,Tx2,125,141.8,-1.77,0,49
0,Tx2,126,143,-2.22,0,52
0,Tx2,127,147,-15.11,0,50
0,Tx2,128,150.2,-16,0,51
1,Tx1,0,1.6,0,0,93
1,Tx1,1,3.2,54.22,0,83
1,Tx1,2,5.2,38.66,0,79
1,Tx1,3,8.8,22.22,0,84
1,Tx1,4,11.4,16,0,78
1,Tx1,5,13.6,11.11,0,76
1,Tx1,6,16.8,10.22,0,77
1,Tx1,7,18.4,-66.22,0,77
1,Tx1,8,20.6,-66.66,0,77
1,Tx1,9,21.8,9.33,0,70
1,Tx1,10,23.4,-79.11,0,63
1,Tx1,11,24.4,-61.77,0,67
1,Tx1,12,26.4,6.22,0,73
1,Tx1,13,29,7.55,0,68
1,Tx1,14,32.4,-8.44,0,68
1,Tx1,15,34,-4,0,64
1,Tx1,16,35,-6.22,0,67
1,Tx1,17,36.6,3.99,0,63
1,Tx1,18,37.4,-20.44,0,60
1,Tx1,19,39.4,-15.11,0,61
1,Tx1,20,41.6,1.33,0,64
1,Tx1,21,43.8,0.44,0,60
1,Tx1,22,45,0,0,57
1,Tx1,23,47,-8,0,57
1,Tx1,24,48.4,-7.11,0,60
1,Tx1,25,49.6,0.44,0,69
1,Tx1,26,51.8,3.99,0,58
1,Tx1,27,54,2.66,0,54
1,Tx1,28,55.4,-4,0,62
1,Tx1,29,59,3.55,0,58
1,Tx1,30,60.4,3.99,0,54
1,Tx1,31,60.6,3.55,0,52
1,Tx1,32,62.2,-13.33,0,52
1,Tx1,33,64,1.77,0,61
1,Tx1,34,65.2,1.77,0,57
1,Tx1,35,66.8,2.66,0,53
1,Tx1,36,68.6,3.11,0,60
1,Tx1,37,71,3.55,0,61
1,Tx1,38,73,0.88,-31,48
1,Tx1,39,73.8,6.22,0,59
1,Tx1,40,75.2,2.22,0,54
1,Tx1,41,75.2,4.44,0,55
1,Tx1,42,77.6,0.88,0,59
1,Tx1,43,80.2,2.22,0,56
1,Tx1,44,81.6,2.66,0,56
1,Tx1,45,83.2,-4,0,56
1,Tx1,46,84.6,7.55,0,55
1,Tx1,47,86.2,4.88,0,50
1,Tx1,48,88.4,5.77,0,55
1,Tx1,49,89.6,0.88,0,50
1,Tx1,50,91.2,0.44,0,58
1,Tx1,51,92.6,7.11,0,50
1,Tx1,52,93.8,0.44,0,51
1,Tx1,53,98.8,-0.44,0,59
1,Tx1,54,102.2,4.44,0,55
1,Tx1,55,106.6,4.44,0,55
1,Tx1,56,107.6,4.44,0,54
1,Tx1,57,111,4.44,0,50
1,Tx1,58,127.4,0,0,52
1,Tx1,59,130,1.33,0,53
1,Tx1,60,133.8,3.55,0,51
1,Tx1,61,142.4,-1.77,0,51
1,Tx1,62,143,-2.66,0,51
1,Tx1,63,148.6,-0.88,0,50
1,Tx1,64,162,32,0,48
1,NA,65,1024,-47.55,0,74
1,Tx2,66,1.6,0,0,96
1,Tx2,67,3.2,52.44,0,79
1,Tx2,68,4.6,46.66,0,71
1,Tx2,69,6.2,32,0,66
1,Tx2,70,9.2,-47.55,0,74
1,Tx2,71,10.4,-42.66,0,74
1,Tx2,72,13.4,-17.77,0,84
1,Tx2,73,16,-13.33,0,85
1,Tx2,74,18.4,-62.22,0,80
1,Tx2,75,20.6,-65.33,0,77
1,Tx2,76,21.8,-64.88,0,72
1,Tx2,77,23.4,-68.88,0,71
1,Tx2,78,26,3.55,0,71
1,Tx2,79,27.2,0.88,0,66
1,Tx2,80,30,3.99,0,63
